pattern;reason;name;class;url;notes
unknown;Entidad sin clasificar;El Centro;Unknown;https://visitpamplonairuna.com/area-profesional/noticias-pstd-sf365;
unknown;Entidad sin clasificar;Pimientos del Piquillo;Unknown;https://visitpamplonairuna.com/en/lugar/pimientos-del-piquillo;
unknown;Entidad sin clasificar;Belena de Portalapea;Unknown;https://visitpamplonairuna.com/en/lugar/belena-de-portalapea;
unknown;Entidad sin clasificar;Torta de Txantxigorri;Unknown;https://visitpamplonairuna.com/en/lugar/torta-de-txantxigorri;
unknown;Entidad sin clasificar;Sidra Navarra;Unknown;https://visitpamplonairuna.com/en/lugar/sidra;
unknown;Entidad sin clasificar;Queso Roncal;Unknown;https://visitpamplonairuna.com/en/lugar/queso-roncal;
unknown;Entidad sin clasificar;Consignas de Correos;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/consignas;
unknown;Entidad sin clasificar;Club de Producto;Unknown;https://visitpamplonairuna.com/tipo-lugar/club-de-producto;
narrative_side_entity;Entidad narrativa o contextual convertida en monumento;Monumento a Ernest Hemingway;Monument;https://visitpamplonairuna.com/lugar/monumento-a-ernest-hemingway;
unknown;Entidad sin clasificar;Indicaciones Geográficas Protegidas;Unknown;https://visitpamplonairuna.com/descubre-pamplona/gastronomia;
unknown;Entidad sin clasificar;Reyno Gourmet Busca;Unknown;https://visitpamplonairuna.com/descubre-pamplona/gastronomia;
unknown;Entidad sin clasificar;Fundación Miguel Servet;Unknown;https://visitpamplonairuna.com/turismo-de-salud;
unknown;Entidad sin clasificar;Calle San Antón;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/consignas;
unknown;Entidad sin clasificar;Alberto Tomás Royo;Unknown;https://visitpamplonairuna.com/area-profesional;
unknown;Entidad sin clasificar;Pablo Sarasate Adéntrate;Unknown;https://visitpamplonairuna.com/evento/vinofest-navarra;
unknown;Entidad sin clasificar;Premio Ojo Crítico;Unknown;https://visitpamplonairuna.com/evento/festival-ecozine-shifting-baselines;
unknown;Entidad sin clasificar;Jesús Fernández Baena;Unknown;https://visitpamplonairuna.com/evento/funcion-escolar-ez-gara-azkenak-izango;
unknown;Entidad sin clasificar;CEIN Startup Day;Unknown;https://visitpamplonairuna.com/eventos-del-sector;
sector_event_review;Evento sectorial potencialmente valido pero revisar;Congreso Internacional Oncología;Event;https://visitpamplonairuna.com/eventos-del-sector;
unknown;Entidad sin clasificar;Simposio Internacional Avances;Unknown;https://visitpamplonairuna.com/eventos-del-sector;
unknown;Entidad sin clasificar;Jornadas Cirugia Estudiantes;Unknown;https://visitpamplonairuna.com/eventos-del-sector;
sector_event_review;Evento sectorial potencialmente valido pero revisar;Congreso Nacional Belenista;Event;https://visitpamplonairuna.com/eventos-del-sector;
unknown;Entidad sin clasificar;Convención Consejo Gral;Unknown;https://visitpamplonairuna.com/eventos-del-sector;
unknown;Entidad sin clasificar;Green Innovation Forum;Unknown;https://visitpamplonairuna.com/eventos-del-sector;
unknown;Entidad sin clasificar;Unión Europea Next;Unknown;https://visitpamplonairuna.com/area-profesional/estrategias-y-planes-municipales;
unknown;Entidad sin clasificar;Igualdad Descargar Ordenanza;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/normativa;
unknown;Entidad sin clasificar;Zona Bajas Emisiones;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/normativa;
unknown;Entidad sin clasificar;Destino Turístico Inteligente;Unknown;https://visitpamplonairuna.com/area-profesional/estudios-e-informes;
unknown;Entidad sin clasificar;Descargar Economía Circular;Unknown;https://visitpamplonairuna.com/area-profesional/estudios-e-informes;
unknown;Entidad sin clasificar;Estudio Impacto Socioeconómico;Unknown;https://visitpamplonairuna.com/plan-de-sostenibilidad-turistica;
unknown;Entidad sin clasificar;Movilidad Turística Urbana;Unknown;https://visitpamplonairuna.com/plan-de-sostenibilidad-turistica;
unknown;Entidad sin clasificar;Calle San Satunino;Unknown;https://visitpamplonairuna.com/evento/excursion-al-nacedero-del-urederra;
unknown;Entidad sin clasificar;Deporte Rural Navarro;Unknown;https://visitpamplonairuna.com/tradiciones-san-fermin-cultura-costumbres;
unknown;Entidad sin clasificar;International Urban Fest;Unknown;https://visitpamplonairuna.com/area-profesional/noticias-pstd-sf365;
unknown;Entidad sin clasificar;Ecoturismo Urbano Estudio;Unknown;https://visitpamplonairuna.com/area-profesional/licitaciones;
unknown;Entidad sin clasificar;Cordero al Chilindrón;Unknown;https://visitpamplonairuna.com/en/lugar/cordero-al-chilindron;
programmatic_misclassified;Pagina programatica con clase fisica sospechosa;Conservatorio Superior;Garden;https://visitpamplonairuna.com/area-profesional/noticias-pstd-sf365;
unknown;Entidad sin clasificar;Urbana Pamplona;Unknown;https://visitpamplonairuna.com/area-profesional/estrategias-y-planes-municipales;
unknown;Entidad sin clasificar;Sidrerías En Pamplona;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/donde-comer/sidrerias;
unknown;Entidad sin clasificar;Entrantes Cogollos;Unknown;https://visitpamplonairuna.com/descubre-pamplona/gastronomia;
unknown;Entidad sin clasificar;Origen Protegidas;Unknown;https://visitpamplonairuna.com/descubre-pamplona/gastronomia;
unknown;Entidad sin clasificar;Lindurren Borda;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/donde-comer/sidrerias;
unknown;Entidad sin clasificar;Clínica Universitaria;Unknown;https://visitpamplonairuna.com/turismo-de-salud;
unknown;Entidad sin clasificar;Comunidad Foral;Unknown;https://visitpamplonairuna.com/turismo-de-salud;
unknown;Entidad sin clasificar;Cardenal Ilundáin;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/donde-aparcar;
unknown;Entidad sin clasificar;Doctor Reparaz;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/donde-aparcar;
unknown;Entidad sin clasificar;Consignas Deja;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/consignas;
unknown;Entidad sin clasificar;Fantasy Variations;Unknown;https://visitpamplonairuna.com/evento/concierto-solidario-agao;
unknown;Entidad sin clasificar;Aroa Berrazpe;Unknown;https://visitpamplonairuna.com/evento/gloria;
unknown;Entidad sin clasificar;Premio Nacional;Unknown;https://visitpamplonairuna.com/evento/festival-ecozine-shifting-baselines;
unknown;Entidad sin clasificar;Carta Magna;Unknown;https://visitpamplonairuna.com/evento/festival-ecozine-shifting-baselines;
unknown;Entidad sin clasificar;Madre Coraje;Unknown;https://visitpamplonairuna.com/evento/hey-kid;
unknown;Entidad sin clasificar;Foro Textil;Unknown;https://visitpamplonairuna.com/evento/hey-kid;
unknown;Entidad sin clasificar;Raquel Andueza;Unknown;https://visitpamplonairuna.com/evento/funcion-escolar-ez-gara-azkenak-izango;
unknown;Entidad sin clasificar;Alimentos Artesanos;Unknown;https://visitpamplonairuna.com/evento/mercado-de-producto-local-y-artesano-basotxoa;
unknown;Entidad sin clasificar;Asociación Bizilur;Unknown;https://visitpamplonairuna.com/evento/mercado-de-producto-local-y-artesano-basotxoa;
unknown;Entidad sin clasificar;Instituto Navarro;Unknown;https://visitpamplonairuna.com/evento/mercado-de-producto-local-y-artesano-basotxoa;
unknown;Entidad sin clasificar;Orquesta Sinfónica;Unknown;https://visitpamplonairuna.com/evento/privilegio-de-la-union;
monument_inflation;Clase Monument aplicada a entidad no patrimonial;Fundación Otazu;Monument;https://visitpamplonairuna.com/tipo-lugar/museos-y-centros-de-interpretacion;
unknown;Entidad sin clasificar;Confitería Layana;Unknown;https://visitpamplonairuna.com/que-hacer-en-pamplona-en-navidad;
unknown;Entidad sin clasificar;Heladería Nalia;Unknown;https://visitpamplonairuna.com/que-hacer-en-pamplona-en-navidad;
unknown;Entidad sin clasificar;Salud Profesionales;Unknown;https://visitpamplonairuna.com/profesional;
unknown;Entidad sin clasificar;Enfermedades Infecciosas;Unknown;https://visitpamplonairuna.com/eventos-del-sector;
unknown;Entidad sin clasificar;Radiología Vascular;Unknown;https://visitpamplonairuna.com/eventos-del-sector;
unknown;Entidad sin clasificar;Transición Energética;Unknown;https://visitpamplonairuna.com/area-profesional/estrategias-y-planes-municipales;
unknown;Entidad sin clasificar;Oficina Estratégica;Unknown;https://visitpamplonairuna.com/area-profesional/estrategias-y-planes-municipales;
unknown;Entidad sin clasificar;Pamplona Establece;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/normativa;
unknown;Entidad sin clasificar;Movilidad Incluye;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/normativa;
unknown;Entidad sin clasificar;Logos Descarga;Unknown;https://visitpamplonairuna.com/solicitud-de-material-turistico;
unknown;Entidad sin clasificar;Descargar Subvención;Unknown;https://visitpamplonairuna.com/subvenciones;
unknown;Entidad sin clasificar;Zitadela Sound;Unknown;https://visitpamplonairuna.com/evento/ciudadela-contemporanea;
monument_inflation;Clase Monument aplicada a entidad no patrimonial;Premio Nobel;Monument;https://visitpamplonairuna.com/lugar/monumento-a-ernest-hemingway;
unknown;Entidad sin clasificar;Sidra Bebida;Unknown;https://visitpamplonairuna.com/en/lugar/sidra;
unknown;Entidad sin clasificar;Casco Viejo;Unknown;https://visitpamplonairuna.com/momenticos-san-fermin;
unknown;Entidad sin clasificar;Espacio Birjolastu;Unknown;https://visitpamplonairuna.com/sanfermines-en-familia;
unknown;Entidad sin clasificar;Peña La Veleta;Unknown;https://visitpamplonairuna.com/tradiciones-san-fermin-cultura-costumbres;
unknown;Entidad sin clasificar;Protección Civil;Unknown;https://visitpamplonairuna.com/ropa-san-fermin-que-llevar;
unknown;Entidad sin clasificar;Caballeros Enjaezados;Unknown;https://visitpamplonairuna.com/tradiciones-san-fermin-cultura-costumbres;
unknown;Entidad sin clasificar;Patxaran Licor;Unknown;https://visitpamplonairuna.com/en/lugar/patxaran;
unknown;Entidad sin clasificar;Producto Turístico;Unknown;https://visitpamplonairuna.com/area-profesional/noticias-pstd-sf365;
unknown;Entidad sin clasificar;Gobierno Estratégico;Unknown;https://visitpamplonairuna.com/grupo-motor;
unknown;Entidad sin clasificar;Pamplona Asociación;Unknown;https://visitpamplonairuna.com/grupo-motor;
unknown;Entidad sin clasificar;Ajoarriero Bacalao;Unknown;https://visitpamplonairuna.com/en/lugar/ajoarriero;
unknown;Entidad sin clasificar;Cuajada Postre;Unknown;https://visitpamplonairuna.com/en/lugar/cuajada;
unknown;Entidad sin clasificar;Foces Naturales;Unknown;https://visitpamplonairuna.com/evento/excursion-selva-de-irati-ochagavia-y-foces-naturales;
unknown;Entidad sin clasificar;Goxua Postre;Unknown;https://visitpamplonairuna.com/en/lugar/goxua;
unknown;Entidad sin clasificar;Fritos Crujiente;Unknown;https://visitpamplonairuna.com/en/lugar/fritos;
unknown;Entidad sin clasificar;Lugares El Rincón;Unknown;https://visitpamplonairuna.com/en/lugares/page/10;
unknown;Entidad sin clasificar;Espárragos de Navarra;Unknown;https://visitpamplonairuna.com/en/lugar/esparragos-blancos-de-navarra;
unknown;Entidad sin clasificar;Profesional Te;Unknown;https://visitpamplonairuna.com/profesional;
unknown;Entidad sin clasificar;Pochas de Navarra;Unknown;https://visitpamplonairuna.com/en/lugar/pochas;
unknown;Entidad sin clasificar;Fritos de Navarra;Unknown;https://visitpamplonairuna.com/en/lugar/fritos;
sector_event_review;Evento sectorial potencialmente valido pero revisar;Internacional Medicina Preventiva Congreso Nacional;Event;https://visitpamplonairuna.com/eventos-del-sector;
unknown;Entidad sin clasificar;Ajoarriero Navarro;Unknown;https://visitpamplonairuna.com/en/lugar/ajoarriero;
unknown;Entidad sin clasificar;Cuajada Navarra;Unknown;https://visitpamplonairuna.com/en/lugar/cuajada;
unknown;Entidad sin clasificar;Chistorra Navarra;Unknown;https://visitpamplonairuna.com/en/lugar/chistorra;
unknown;Entidad sin clasificar;Queso Idiazabal;Unknown;https://visitpamplonairuna.com/en/lugar/queso-idiazabal;
unknown;Entidad sin clasificar;Civivox Condestable Escape;Unknown;https://visitpamplonairuna.com/evento/vinofest-navarra;
unknown;Entidad sin clasificar;Civivox Pompelo Objetos;Unknown;https://visitpamplonairuna.com/evento/un-monstruo-viene-a-verme;
unknown;Entidad sin clasificar;Civivox Condestable Musync;Unknown;https://visitpamplonairuna.com/evento/funcion-escolar-ez-gara-azkenak-izango;
unknown;Entidad sin clasificar;Marketing Digital Noticias;Unknown;https://visitpamplonairuna.com/noticias;
unknown;Entidad sin clasificar;Blanca Valdivia Noticias;Unknown;https://visitpamplonairuna.com/noticias;
unknown;Entidad sin clasificar;Santo Domingo Noticias;Unknown;https://visitpamplonairuna.com/noticias;
unknown;Entidad sin clasificar;Navarra Descargar Normativa;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/normativa;
unknown;Entidad sin clasificar;Servicios Turísticos Descargar;Unknown;https://visitpamplonairuna.com/area-profesional/estudios-e-informes;
unknown;Entidad sin clasificar;Edad Media Orígenes;Unknown;https://visitpamplonairuna.com/san-fermin-a-traves-de-los-siglos-un-recorrido-historico;
unknown;Entidad sin clasificar;Navarra Pamplona;Unknown;https://visitpamplonairuna.com/descubre-pamplona;
unknown;Entidad sin clasificar;Navarra Sidrerías;Unknown;https://visitpamplonairuna.com/descubre-pamplona/gastronomia;
unknown;Entidad sin clasificar;Sanfermines Familias;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/donde-comer;
unknown;Entidad sin clasificar;Sidrerías Dónde;Unknown;https://visitpamplonairuna.com/planifica-tu-viaje/donde-comer;
unknown;Entidad sin clasificar;Paderborn El Servicio;Unknown;https://visitpamplonairuna.com/area-profesional;
unknown;Entidad sin clasificar;Espazioa El Servicio;Unknown;https://visitpamplonairuna.com/area-profesional;
unknown;Entidad sin clasificar;María El Servicio;Unknown;https://visitpamplonairuna.com/area-profesional;
unknown;Entidad sin clasificar;Espazioa Oficina;Unknown;https://visitpamplonairuna.com/contacto;
unknown;Entidad sin clasificar;Iruña Oficina;Unknown;https://visitpamplonairuna.com/contacto;
unknown;Entidad sin clasificar;Gratis Escape;Unknown;https://visitpamplonairuna.com/evento/vinofest-navarra;
unknown;Entidad sin clasificar;Geltoki Truke;Unknown;https://visitpamplonairuna.com/evento/hey-kid;
unknown;Entidad sin clasificar;Sanfermines Noticias;Unknown;https://visitpamplonairuna.com/noticias;
unknown;Entidad sin clasificar;Hierro Noticias;Unknown;https://visitpamplonairuna.com/noticias;
unknown;Entidad sin clasificar;León Noticias;Unknown;https://visitpamplonairuna.com/noticias;
unknown;Entidad sin clasificar;Descargar Estudios;Unknown;https://visitpamplonairuna.com/area-profesional/estudios-e-informes;
unknown;Entidad sin clasificar;Pamplona Cordero;Unknown;https://visitpamplonairuna.com/gastronomia-san-fermin;
unknown;Entidad sin clasificar;Baztán Respirar;Unknown;https://visitpamplonairuna.com/sanfermines-en-familia;
unknown;Entidad sin clasificar;Pamplona Participantes;Unknown;https://visitpamplonairuna.com/grupo-motor;
unknown;Entidad sin clasificar;Navarra Participantes;Unknown;https://visitpamplonairuna.com/grupo-motor;
unknown;Entidad sin clasificar;Espacios culturales;Unknown;https://visitpamplonairuna.com/tipo-lugar/espacios-culturales;
unknown;Entidad sin clasificar;Turismo Actas;Unknown;https://visitpamplonairuna.com/grupo-motor;
